City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Kihei,US,2022-11-29 21:39:49,20.785,-156.4656,81.97,82,97,4.61
239,Genhe,CN,2022-11-29 21:44:41,50.7833,121.5167,-23.17,93,99,5.41
240,Joao Pinheiro,BR,2022-11-29 21:44:41,-17.7425,-46.1725,74.28,62,58,3.04
241,San Cristobal,VE,2022-11-29 21:44:41,7.7669,-72.225,69.98,98,100,3.04
242,Shamary,RU,2022-11-29 21:44:42,57.3434,58.2199,7.45,98,98,1.83
243,Whitley Bay,GB,2022-11-29 21:44:26,55.0397,-1.4471,37.81,100,100,2.3
244,Flinders,AU,2022-11-29 21:44:42,-34.5833,150.8552,67.17,72,16,7.0
245,Castro,BR,2022-11-29 21:44:43,-24.7911,-50.0119,59.83,97,86,5.3
246,Bengkulu,ID,2022-11-29 21:44:43,-3.8004,102.2655,75.36,91,100,2.95
247,Waw,SS,2022-11-29 21:44:43,7.7029,27.9953,80.98,40,100,2.95
248,Port-Gentil,GA,2022-11-29 21:44:44,-0.7193,8.7815,76.96,94,20,3.44
249,Vanavara,RU,2022-11-29 21:44:44,60.34,102.2797,-9.63,98,98,6.17
250,Kijang,KR,2022-11-29 21:44:45,35.2442,129.2139,38.93,41,100,8.84
251,Campbell River,CA,2022-11-29 21:43:45,50.0163,-125.2446,31.59,100,100,19.57
252,Cayenne,GF,2022-11-29 21:44:45,4.9333,-52.3333,73.44,94,75,1.14
253,Hay River,CA,2022-11-29 21:44:45,60.8156,-115.7999,-16.62,69,40,11.5
254,Mumford,GH,2022-11-29 21:44:46,5.2618,-0.759,79.59,82,60,7.85
255,Vanimo,PG,2022-11-29 21:44:46,-2.6741,141.3028,78.44,87,100,2.82
256,Lapithos,CY,2022-11-29 21:44:46,35.3375,33.1792,59.29,85,55,13.8
257,Cartagena,CO,2022-11-29 21:44:47,10.3997,-75.5144,80.22,89,75,5.75
258,Boddam,GB,2022-11-29 21:44:47,57.4667,-1.7833,28.78,80,96,14.25
259,San Jeronimo,PE,2022-11-29 21:44:47,-11.9472,-75.2829,55.58,69,52,12.93
260,Nyurba,RU,2022-11-29 21:44:48,63.2842,118.3319,-27.85,99,99,6.24
261,San Quintin,MX,2022-11-29 21:44:48,30.4833,-115.95,62.64,59,0,14.03
262,Hailey,US,2022-11-29 21:44:48,43.5196,-114.3153,25.9,61,0,11.5
263,Fandriana,MG,2022-11-29 21:44:49,-20.2333,47.3833,60.57,91,100,3.13
264,Vostok,RU,2022-11-29 21:44:49,46.4856,135.8833,-3.48,95,100,9.78
265,Paamiut,GL,2022-11-29 21:44:49,61.994,-49.6678,27.79,84,100,8.25
266,Te Anau,NZ,2022-11-29 21:44:50,-45.4167,167.7167,56.8,70,99,1.77
267,Lebu,CL,2022-11-29 21:44:50,-37.6167,-73.65,59.22,89,100,13.94
268,Le Port,RE,2022-11-29 21:44:50,-20.9373,55.2919,76.96,63,74,3.47
269,Sendafa,ET,2022-11-29 21:44:51,9.15,39.0333,54.75,58,1,3.0
270,Vanino,RU,2022-11-29 21:44:51,49.0869,140.2543,4.19,65,8,13.76
271,Mpika,ZM,2022-11-29 21:44:51,-11.8343,31.4529,61.54,94,88,3.24
272,Dunedin,NZ,2022-11-29 21:44:52,-45.8742,170.5036,56.8,85,100,13.0
273,Roma,US,2022-11-29 21:40:19,43.2128,-75.4557,38.88,70,100,6.91
274,Gelnica,SK,2022-11-29 21:44:52,48.8558,20.9371,30.31,81,98,2.57
275,Lorengau,PG,2022-11-29 21:44:52,-2.0226,147.2712,84.43,67,74,5.99
276,Champasak,LA,2022-11-29 21:44:53,14.75,106.0,71.82,94,15,1.48
277,Talnakh,RU,2022-11-29 21:45:53,69.4865,88.3972,-15.34,100,84,6.08
278,Tuatapere,NZ,2022-11-29 21:45:54,-46.1333,167.6833,57.45,72,69,7.05
279,Sayat,TM,2022-11-29 21:45:54,38.7839,63.8803,37.27,61,6,5.26
280,Andijon,UZ,2022-11-29 21:45:54,40.7821,72.3442,43.88,85,99,3.44
281,Pochutla,MX,2022-11-29 21:45:55,15.7432,-96.4661,86.83,59,64,6.22
282,Faanui,PF,2022-11-29 21:45:55,-16.4833,-151.75,79.36,77,18,12.75
283,Road Town,VG,2022-11-29 21:44:12,18.4167,-64.6167,82.49,74,40,8.05
284,Swan Hill,AU,2022-11-29 21:45:56,-35.3378,143.5544,61.41,48,29,8.99
285,Sitka,US,2022-11-29 21:45:56,57.0531,-135.33,26.49,39,20,11.5
286,Clyde River,CA,2022-11-29 21:45:56,70.4692,-68.5914,-23.57,76,0,4.61
287,Banda Aceh,ID,2022-11-29 21:45:57,5.5577,95.3222,77.05,82,100,6.53
288,Egvekinot,RU,2022-11-29 21:45:57,66.3167,-179.1667,25.12,100,100,7.14
289,Kautokeino,NO,2022-11-29 21:45:58,69.0125,23.0412,28.04,91,97,16.06
290,Panjab,AF,2022-11-29 21:45:58,34.388,67.0233,26.29,65,0,3.53
291,Puro,PH,2022-11-29 21:45:59,12.4841,123.3827,79.29,79,19,10.13
292,Shiraz,IR,2022-11-29 21:45:59,29.6036,52.5388,44.04,61,0,0.0
293,Antofagasta,CL,2022-11-29 21:42:33,-23.65,-70.4,65.48,74,41,6.06
